Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Matija Nastasić,SRB,DF,Mallorca,29,1993,10.1,298,285,11,10,0,3,1,1,0,0,0,0,238,2,3
Roberto Navarro,ESP,"MF,FW",Real Sociedad,20,2002,3.9,138,119,18,6,0,1,16,0,11,5,3,0,99,1,5
Jesús Navas,ESP,"DF,FW",Sevilla,36,1985,22.0,1332,1128,196,20,2,17,135,176,0,0,0,0,1000,8,41
Álvaro Negredo,ESP,FW,Cádiz,36,1985,8.4,173,153,20,1,3,4,2,0,0,0,0,0,106,0,4
Tanguy Nianzou,FRA,DF,Sevilla,20,2002,15.2,772,748,22,20,1,3,1,1,0,0,0,0,676,2,5
Saúl Ñíguez,ESP,"MF,DF",Atlético Madrid,27,1994,12.2,520,492,26,2,2,1,15,23,0,0,0,0,408,2,9
Fernando Niño,ESP,"MF,FW",Villarreal,21,2000,0.2,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Randy Nteka,ANG,"FW,MF",Elche,24,1997,8.1,171,161,9,1,1,1,0,2,0,0,0,0,118,1,7
Randy Nteka,ANG,"FW,MF",Rayo Vallecano,24,1997,1.3,65,64,0,0,1,0,0,0,0,0,0,0,49,1,2
Unai Núñez,ESP,DF,Celta Vigo,25,1997,35.0,2023,1967,53,49,0,34,3,4,0,0,0,0,1744,3,11
Jan Oblak,SVN,GK,Atlético Madrid,29,1993,27.7,817,522,292,64,0,1,0,0,0,0,0,0,538,3,0
Brian Ocampo,URU,"MF,FW",Cádiz,23,1999,12.4,369,338,27,5,0,3,34,5,17,11,3,1,274,4,11
Lucas Ocampos,ARG,"FW,MF",Sevilla,28,1994,12.9,450,418,27,2,0,2,26,18,1,0,0,0,333,5,13
Álvaro Odriozola,ESP,DF,Real Madrid,26,1995,0.4,28,25,3,0,0,0,3,3,0,0,0,0,27,0,0
Olasagasti,ESP,"MF,DF",Real Sociedad,21,2000,0.7,48,47,1,1,0,2,0,0,0,0,0,0,39,0,0
Lucas Olaza,URU,DF,Valladolid,28,1994,16.6,797,596,199,27,0,3,71,153,19,1,16,0,606,2,28
Brian Oliván,ESP,DF,Espanyol,28,1994,26.7,1106,859,242,18,0,12,140,211,13,6,4,0,688,5,34
Lucas Oliveira Rosa,BRA,DF,Valladolid,22,2000,10.3,437,332,104,5,1,1,37,99,0,0,0,0,315,1,15
Aimar Oroz,ESP,"MF,FW",Osasuna,20,2001,22.4,820,778,37,9,4,4,7,1,2,1,0,0,649,5,27
Pedro Ortiz,ESP,MF,Sevilla,21,2000,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
