Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
Taylor Gardner-Hickman,ENG,"MF,DF",West Brom,20.0,2001.0,13.0,39,25,16,17,6,15,26,57.7,11,14,2,12,13,52,20,1
Jake Garrett,ENG,MF,Blackburn,19.0,2003.0,4.4,9,6,2,7,0,2,7,28.6,5,4,0,4,5,14,4,0
Mario Gaspar,ESP,"DF,MF",Watford,31.0,1990.0,19.7,48,27,25,16,7,23,40,57.5,17,33,14,19,26,74,38,0
Dwight Gayle,ENG,FW,Stoke City,31.0,1990.0,26.5,18,13,3,9,6,7,22,31.8,15,8,1,7,10,28,7,0
Joe Gelhardt,ENG,FW,Sunderland,20.0,2002.0,13.3,18,15,6,9,3,5,19,26.3,14,17,3,14,2,20,13,0
Dimitris Giannoulis,GRE,DF,Norwich City,26.0,1995.0,18.5,67,35,41,20,6,45,65,69.2,20,19,2,17,22,89,31,0
Liam Gibbs,ENG,MF,Norwich City,19.0,2002.0,18.8,30,21,11,17,2,17,31,54.8,14,20,4,16,16,46,24,1
Ben Gibson,ENG,DF,Norwich City,29.0,1993.0,19.7,11,8,10,1,0,7,9,77.8,2,19,15,4,21,32,123,2
Ryan Giles,ENG,DF,Middlesbrough,22.0,2000.0,42.6,52,36,40,10,2,28,43,65.1,15,33,5,28,32,84,68,0
Brodie Gilmore,NIR,DF,Huddersfield,18.0,2004.0,2.7,3,2,3,0,0,2,3,66.7,1,1,0,1,1,4,8,0
Matthew Godden,ENG,FW,Coventry City,31.0,1991.0,22.0,13,7,3,10,0,2,14,14.3,12,25,2,23,6,19,21,0
Lynden Gooch,USA,DF,Sunderland,26.0,1995.0,26.3,46,30,18,24,4,20,42,47.6,22,36,8,28,19,65,50,0
Charlie Goode,ENG,DF,Blackpool,26.0,1995.0,1.3,3,2,2,1,0,2,2,100.0,0,0,0,0,1,4,10,0
Kyron Gordon,ENG,DF,Sheffield Utd,20.0,2002.0,0.8,1,1,0,1,0,0,0,,0,0,0,0,2,3,2,0
Dan Gosling,ENG,"DF,MF",Watford,32.0,1990.0,9.8,22,11,14,8,0,11,24,45.8,13,16,3,13,6,28,12,0
Jordan Graham,ENG,DF,Birmingham City,27.0,1995.0,13.6,13,7,7,4,2,7,19,36.8,12,25,5,20,16,29,38,0
Karlan Grant,ENG,"FW,MF",West Brom,24.0,1997.0,19.1,5,4,4,0,1,2,10,20.0,8,13,1,12,3,8,2,0
Jacob Greaves,ENG,DF,Hull City,21.0,2000.0,39.6,94,55,58,35,1,55,76,72.4,21,62,20,42,45,139,155,1
Jack Grieves,ENG,MF,Watford,17.0,2004.0,0.1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
Joshua Griffiths,ENG,GK,West Brom,20.0,2001.0,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1
Matt Grimes,ENG,MF,Swansea City,27.0,1995.0,44.0,66,36,31,30,5,30,49,61.2,19,32,11,21,24,90,43,0
Daniel Grimshaw,ENG,GK,Blackpool,24.0,1998.0,18.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0
Nesta Guinness-Walker,ENG,"DF,FW",Reading,22.0,1999.0,18.3,29,18,16,10,3,13,29,44.8,16,22,6,16,20,49,44,0
Angus Gunn,SCO,GK,Norwich City,26.0,1996.0,30.0,2,2,2,0,0,2,2,100.0,0,0,0,0,2,4,19,2
Viktor Gyökeres,SWE,FW,Coventry City,24.0,1998.0,44.7,21,11,4,6,11,5,13,38.5,8,23,10,13,3,24,20,0
Hayden Hackney,ENG,MF,Middlesbrough,20.0,2002.0,30.4,67,37,27,28,12,28,65,43.1,37,41,4,37,26,93,18,1
George Hall,ENG,MF,Birmingham City,18.0,2004.0,14.1,23,16,8,11,4,12,21,57.1,9,17,3,14,7,30,7,0
